qid,docid,docno,rank,score,query
1,11420,11420,130,9.268020592285481, rooms AND rescue AND nottingham
1,12809,12809,131,9.268020592285481, rooms AND rescue AND nottingham
1,12921,12921,132,9.268020592285481, rooms AND rescue AND nottingham
1,13250,13250,133,9.268020592285481, rooms AND rescue AND nottingham
1,13269,13269,134,9.268020592285481, rooms AND rescue AND nottingham
1,1200,1200,135,9.134683735566831, rooms AND rescue AND nottingham
1,1471,1471,136,9.134683735566831, rooms AND rescue AND nottingham
1,1700,1700,137,9.134683735566831, rooms AND rescue AND nottingham
1,3443,3443,138,9.134683735566831, rooms AND rescue AND nottingham
1,3884,3884,139,9.134683735566831, rooms AND rescue AND nottingham
1,4025,4025,140,9.134683735566831, rooms AND rescue AND nottingham
1,4688,4688,141,9.134683735566831, rooms AND rescue AND nottingham
1,5136,5136,142,9.134683735566831, rooms AND rescue AND nottingham
1,5308,5308,143,9.134683735566831, rooms AND rescue AND nottingham
1,5902,5902,144,9.134683735566831, rooms AND rescue AND nottingham
1,6157,6157,145,9.134683735566831, rooms AND rescue AND nottingham
1,6476,6476,146,9.134683735566831, rooms AND rescue AND nottingham
1,6748,6748,147,9.134683735566831, rooms AND rescue AND nottingham
1,6790,6790,148,9.134683735566831, rooms AND rescue AND nottingham
1,7297,7297,149,9.134683735566831, rooms AND rescue AND nottingham
1,7323,7323,150,9.134683735566831, rooms AND rescue AND nottingham
1,7327,7327,151,9.134683735566831, rooms AND rescue AND nottingham
1,8517,8517,152,9.134683735566831, rooms AND rescue AND nottingham
1,8582,8582,153,9.134683735566831, rooms AND rescue AND nottingham
1,9575,9575,154,9.134683735566831, rooms AND rescue AND nottingham
1,9705,9705,155,9.134683735566831, rooms AND rescue AND nottingham
1,9733,9733,156,9.134683735566831, rooms AND rescue AND nottingham
1,9780,9780,157,9.134683735566831, rooms AND rescue AND nottingham
1,10844,10844,158,9.134683735566831, rooms AND rescue AND nottingham
1,11301,11301,159,9.134683735566831, rooms AND rescue AND nottingham
1,11398,11398,160,9.134683735566831, rooms AND rescue AND nottingham
1,11514,11514,161,9.134683735566831, rooms AND rescue AND nottingham
1,11582,11582,162,9.134683735566831, rooms AND rescue AND nottingham
1,12037,12037,163,9.134683735566831, rooms AND rescue AND nottingham
1,12290,12290,164,9.134683735566831, rooms AND rescue AND nottingham
1,12372,12372,165,9.134683735566831, rooms AND rescue AND nottingham
1,12613,12613,166,9.134683735566831, rooms AND rescue AND nottingham
1,12680,12680,167,9.134683735566831, rooms AND rescue AND nottingham
1,12712,12712,168,9.134683735566831, rooms AND rescue AND nottingham
1,12946,12946,169,9.134683735566831, rooms AND rescue AND nottingham
1,13154,13154,170,9.134683735566831, rooms AND rescue AND nottingham
1,13184,13184,171,9.134683735566831, rooms AND rescue AND nottingham
1,13445,13445,172,9.134683735566831, rooms AND rescue AND nottingham
1,13574,13574,173,9.134683735566831, rooms AND rescue AND nottingham
1,13602,13602,174,9.134683735566831, rooms AND rescue AND nottingham
1,1130,1130,175,9.005129038489711, rooms AND rescue AND nottingham
1,1319,1319,176,9.005129038489711, rooms AND rescue AND nottingham
1,1551,1551,177,9.005129038489711, rooms AND rescue AND nottingham
1,3288,3288,178,9.005129038489711, rooms AND rescue AND nottingham
1,3560,3560,179,9.005129038489711, rooms AND rescue AND nottingham
1,3788,3788,180,9.005129038489711, rooms AND rescue AND nottingham
1,3847,3847,181,9.005129038489711, rooms AND rescue AND nottingham
1,4142,4142,182,9.005129038489711, rooms AND rescue AND nottingham
1,4401,4401,183,9.005129038489711, rooms AND rescue AND nottingham
1,6216,6216,184,9.005129038489711, rooms AND rescue AND nottingham
1,7552,7552,185,9.005129038489711, rooms AND rescue AND nottingham
1,8136,8136,186,9.005129038489711, rooms AND rescue AND nottingham
1,9875,9875,187,9.005129038489711, rooms AND rescue AND nottingham
